transaction_id,station_id,timestamp,ticket_type,passenger_category,entry_station,exit_station,travel_duration,fare_amount,payment_method
TXN00018922,HYD006,2024-12-22 08:19:00,QR Ticket,Student,Moosapet,Dilsukhnagar,36,40,UPI
TXN00018923,DEL102,2024-10-06 18:05:00,Token,Tourist,Welcome,Rajouri Garden,31,40,Cash
TXN00018924,DEL074,2024-10-19 07:05:00,QR Ticket,Student,New Ashok Nagar,Azadpur,40,40,NCMC Card
TXN00018925,DEL153,2024-12-05 10:32:00,Token,General,Munirka,Dwarka,19,30,Cash
TXN00018926,BLR047,2024-11-22 10:10:00,Smart Card,General,Yeshwanthpur,Deepanjali Nagar,12,18,NCMC Card
TXN00018927,DEL194,2024-11-26 19:38:00,Smart Card,General,Maujpur Babarpur,INA,32,36,UPI
TXN00018928,DEL064,2024-12-08 20:08:00,Token,Women,Jhandewalan,Dwarka Sector 13,31,40,Cash
TXN00018929,BLR028,2024-10-19 13:14:00,Smart Card,General,Garudacharpalya,Nagasandra,42,36,UPI
TXN00018930,DEL104,2024-12-07 11:08:00,QR Ticket,General,Mansarovar Park,Samaypur Badli,40,40,UPI
TXN00018931,CHN018,2024-10-07 07:22:00,Monthly Pass,General,Mannadi,Ekkattuthangal,34,36,UPI
TXN00018932,HYD035,2024-12-07 17:23:00,Monthly Pass,General,Yusufguda,Gandhi Hospital,22,27,Cash
TXN00018933,DEL099,2024-11-07 20:15:00,QR Ticket,Student,Tis Hazari,Dwarka,42,40,NCMC Card
TXN00018934,KOL009,2024-10-05 10:31:00,Monthly Pass,Women,Mahatma Gandhi Road,Netaji Bhavan,18,27,UPI
TXN00018935,DEL104,2024-10-28 18:01:00,Smart Card,Senior Citizen,Mansarovar Park,Mandawali West Vinod Nagar,14,27,NCMC Card
TXN00018936,MUM004,2024-10-08 10:48:00,Smart Card,General,Andheri,Chakala (J.B. Nagar),10,9,Metro App
TXN00018937,MUM021,2024-10-05 22:17:00,Smart Card,General,Dahanukarwadi,Azad Nagar,25,27,UPI
TXN00018938,BHO009,2024-10-12 06:32:00,QR Ticket,General,MP Nagar,Karond Circle,21,30,UPI
TXN00018939,DEL069,2024-10-22 08:41:00,Smart Card,Senior Citizen,Indraprastha,Shakurpur,35,36,NCMC Card
TXN00018940,NDA007,2024-11-05 21:10:00,Smart Card,General,Noida Sector 137,NSEZ Noida Sector 83,8,9,Metro App
TXN00018941,HYD018,2024-10-19 10:47:00,Smart Card,General,Gandhi Bhavan,Durgam Cheruvu,31,36,UPI
TXN00018942,HYD057,2024-12-01 10:08:00,Smart Card,Student,Sultan Bazaar,Begumpet,19,27,Credit/Debit Card
TXN00018943,DEL168,2024-10-08 09:31:00,Smart Card,Women,Shalimar Bagh,Ramesh Nagar,32,36,UPI
TXN00018944,DEL039,2024-12-24 08:23:00,Smart Card,Student,Dwarka Sector 8,Rajdhani Park,14,27,Cash
TXN00018945,DEL196,2024-11-23 11:54:00,QR Ticket,General,Johri Enclave,Dwarka Sector 10,53,50,UPI
TXN00018946,BLR028,2024-12-09 17:54:00,Token,Women,Garudacharpalya,Kengeri Bus Terminal,47,50,Cash
TXN00018947,DEL023,2024-11-09 22:26:00,Monthly Pass,General,AIIMS,Uttam Nagar West,9,18,Credit/Debit Card
TXN00018948,DEL208,2024-10-29 15:42:00,QR Ticket,Senior Citizen,Nangloi Railway Station,Khan Market,43,40,UPI
TXN00018949,DEL180,2024-11-04 18:40:00,Smart Card,Student,Vinobapuri,Azadpur,21,27,Cash
TXN00018950,DEL170,2024-12-16 22:55:00,Smart Card,General,Punjabi Bagh West,Sarai Kale Khan Nizamuddin,19,27,NCMC Card
TXN00018951,DEL134,2024-12-22 17:20:00,QR Ticket,General,Badarpur Border,Haiderpur Badli Mor,73,60,Cash
TXN00018952,DEL038,2024-12-07 22:47:00,Token,General,Dwarka Sector 21,Model Town,34,40,NCMC Card
TXN00018953,DEL105,2024-11-03 09:30:00,Smart Card,General,Jhilmil,Qutab Minar,61,45,Cash
TXN00018954,IDR001,2024-11-29 08:16:00,Token,Senior Citizen,Gandhi Nagar,Rajwada,21,30,Cash
TXN00018955,DEL169,2024-10-24 12:50:00,QR Ticket,General,Shakurpur,Noida Sector 62,49,50,Cash
TXN00018956,DEL175,2024-10-30 23:10:00,Smart Card,General,Durgabai Deshmukh South Campus,Indraprastha,35,36,Cash
TXN00018957,DEL180,2024-11-14 20:37:00,QR Ticket,Student,Vinobapuri,Janpath,26,30,Cash
TXN00018958,DEL143,2024-11-27 19:07:00,Monthly Pass,General,Escorts Mujesar,Green Park,67,45,UPI
TXN00018959,KOL017,2024-12-09 10:08:00,QR Ticket,Student,Jatin Das Park,Netaji,10,20,UPI
TXN00018960,MUM002,2024-12-10 08:45:00,QR Ticket,General,D.N. Nagar,Worli,24,30,UPI
TXN00018961,CHN005,2024-10-25 09:54:00,Token,General,St. Thomas Mount,Theagaraya College,34,40,Credit/Debit Card
TXN00018962,KOC024,2024-11-06 12:04:00,Token,General,SN Junction,Pathadipalam,18,30,UPI
TXN00018963,MUM051,2024-12-17 10:59:00,Smart Card,General,Mahalaxmi,Sahar Road,26,27,NCMC Card
TXN00018964,NGP001,2024-12-16 14:16:00,Token,General,Automotive Square,Shankar Nagar Square,15,30,UPI
TXN00018965,DEL162,2024-12-02 18:19:00,Token,General,Jamia Millia Islamia,Dwarka Sector 13,43,40,Cash
TXN00018966,BLR066,2024-12-21 07:30:00,Monthly Pass,General,Vajarahalli,Mahadevapura,31,36,Metro App
TXN00018967,DEL179,2024-11-15 08:09:00,QR Ticket,Senior Citizen,South Extension,Kashmere Gate,10,20,Metro App
TXN00018968,DEL019,2024-10-24 23:17:00,Monthly Pass,Student,Udyog Bhawan,Hauz Khas,16,18,UPI
TXN00018969,DEL165,2024-11-10 08:47:00,Monthly Pass,Women,Kalindi Kunj,South Extension,34,36,UPI
TXN00018970,MUM002,2024-11-19 08:38:00,Smart Card,General,D.N. Nagar,CSMT Metro,34,36,UPI
TXN00018971,KNP006,2024-12-28 20:14:00,QR Ticket,Senior Citizen,Geeta Nagar,Nayaganj,15,20,Credit/Debit Card
TXN00018972,DEL221,2024-11-13 07:56:00,Smart Card,General,IGI Airport,Lok Kalyan Marg,17,18,Cash
TXN00018973,MUM002,2024-10-06 21:52:00,QR Ticket,General,D.N. Nagar,Azad Nagar,9,10,NCMC Card
TXN00018974,AMD027,2024-10-14 06:29:00,QR Ticket,Tourist,SP Stadium,Sabarmati,23,30,UPI
TXN00018975,DEL171,2024-10-27 18:17:00,Smart Card,General,ESI Basaidarapur,Maharaja Surajmal Stadium,30,36,UPI
TXN00018976,KNP010,2024-12-09 17:02:00,Monthly Pass,Student,Chunniganj,Bada Chauraha,7,9,UPI
TXN00018977,CHN007,2024-10-25 17:25:00,Smart Card,Student,Guindy,Chennai Central Metro,23,27,UPI
TXN00018978,DEL006,2024-10-02 09:38:00,QR Ticket,Senior Citizen,Azadpur,ITO,32,40,Cash
TXN00018979,MUM001,2024-11-05 07:41:00,Smart Card,Student,Versova,Shimpoli,26,27,UPI
TXN00018980,DEL115,2024-12-08 10:06:00,Smart Card,Student,Lal Qila,Chhatarpur,45,36,Cash
TXN00018981,DEL123,2024-11-29 19:49:00,QR Ticket,Senior Citizen,Lajpat Nagar,Huda City Centre,53,50,Cash
TXN00018982,DEL205,2024-10-15 21:19:00,QR Ticket,Senior Citizen,Udyog Nagar,Pitampura,25,30,Metro App
TXN00018983,HYD009,2024-12-14 17:02:00,QR Ticket,Senior Citizen,ESI Hospital,Paradise,14,20,Cash
TXN00018984,MUM013,2024-12-27 20:15:00,Token,General,Dahisar East,Kalbadevi,62,50,Cash
TXN00018985,DEL167,2024-11-08 20:42:00,QR Ticket,Student,Majlis Park,Panchsheel Park,33,40,NCMC Card
TXN00018986,HYD027,2024-10-02 10:25:00,Monthly Pass,General,LB Nagar,Raidurg,51,45,Credit/Debit Card
TXN00018987,BLR063,2024-10-17 09:22:00,QR Ticket,Senior Citizen,Yelachenahalli,Yeshwanthpur,30,30,NCMC Card
TXN00018988,AMD006,2024-11-14 21:38:00,QR Ticket,Women,Gandhigram,Thaltej,18,30,UPI
TXN00018989,DEL044,2024-10-10 16:31:00,Token,General,Dwarka Sector 13,New Delhi,24,30,UPI
TXN00018990,NDA012,2024-12-19 20:47:00,QR Ticket,Student,Noida Sector 146,Noida Sector 101,24,30,UPI
TXN00018991,BLR028,2024-12-05 20:01:00,QR Ticket,General,Garudacharpalya,Chikkabidarakallu,44,50,UPI
TXN00018992,DEL178,2024-11-22 20:14:00,Smart Card,Women,Sarojini Nagar,Mandi House,29,36,UPI
TXN00018993,BLR040,2024-11-02 16:14:00,Smart Card,General,Manjunathanagar,Vidhana Soudha,28,27,Metro App
TXN00018994,DEL023,2024-10-19 19:11:00,Token,General,AIIMS,Dwarka Sector 21,10,10,Credit/Debit Card
TXN00018995,KOC022,2024-12-08 09:24:00,Smart Card,General,Petta,Ernakulam South,11,18,UPI
TXN00018996,DEL011,2024-10-22 10:07:00,Token,Women,Civil Lines,Green Park,24,30,NCMC Card
TXN00018997,BLR061,2024-12-26 19:31:00,Monthly Pass,General,Banashankari,Mysuru Road,18,27,UPI
TXN00018998,DEL128,2024-10-08 12:55:00,QR Ticket,General,Govind Puri,Sarita Vihar,13,20,Metro App
TXN00018999,LKO013,2024-12-03 10:55:00,Smart Card,General,Hazratganj,Amausi,16,27,UPI
TXN00019000,DEL017,2024-10-16 12:01:00,Monthly Pass,General,Patel Chowk,Munirka,17,27,Metro App
TXN00019001,MUM050,2024-12-29 17:11:00,QR Ticket,General,Mumbai Central Metro,Science Museum,8,10,Metro App
TXN00019002,MUM030,2024-12-16 10:54:00,QR Ticket,General,Rashtriya Udyan,Shimpoli,14,20,NCMC Card
TXN00019003,DEL056,2024-11-07 21:10:00,Smart Card,General,Rajouri Garden,Lok Kalyan Marg,23,27,Metro App
TXN00019004,DEL065,2024-12-28 11:27:00,Smart Card,General,RK Ashram Marg,Chandni Chowk,31,36,Metro App
TXN00019005,DEL017,2024-12-13 13:38:00,Smart Card,Women,Patel Chowk,Jasola Apollo,45,45,UPI
TXN00019006,KOL019,2024-12-08 07:23:00,Smart Card,General,Rabindra Sarobar,Netaji Bhavan,5,9,NCMC Card
TXN00019007,MUM036,2024-10-22 05:55:00,Token,General,Dindoshi,D.N. Nagar,17,30,Cash
TXN00019008,DEL200,2024-10-06 09:22:00,Smart Card,Differently-abled,Shivaji Park,Inderlok,21,27,Cash
TXN00019009,BLR021,2024-10-01 18:36:00,Smart Card,General,Halasuru,Sir M. Visvesvaraya,14,18,UPI
TXN00019010,DEL069,2024-12-10 11:48:00,QR Ticket,General,Indraprastha,Karkarduma Court,26,30,Cash
TXN00019011,BLR014,2024-10-02 19:09:00,Token,General,City Railway Station,Kadugodi Tree Park,42,40,Cash
TXN00019012,AGR010,2024-11-09 06:58:00,QR Ticket,General,RBS College,Raja Ki Mandi,9,10,Credit/Debit Card
TXN00019013,DEL087,2024-10-25 08:19:00,Monthly Pass,General,Rithala,Kirti Nagar,34,36,UPI
TXN00019014,MUM026,2024-10-29 20:39:00,QR Ticket,General,Goregaon West,D.N. Nagar,14,20,NCMC Card
TXN00019015,BLR040,2024-12-19 22:22:00,QR Ticket,Student,Manjunathanagar,National College,28,30,Metro App
TXN00019016,CHN030,2024-10-27 19:03:00,Smart Card,General,Anna Nagar Tower,Chennai Central Metro,18,27,Metro App
TXN00019017,DEL064,2024-12-23 12:30:00,Smart Card,General,Jhandewalan,Jhilmil,36,36,UPI
TXN00019018,DEL199,2024-11-20 05:10:00,Token,General,Punjabi Bagh,Keshav Puram,16,30,Cash
TXN00019019,HYD029,2024-10-17 06:26:00,QR Ticket,General,HITEC City,Durgam Cheruvu,9,10,UPI
TXN00019020,DEL160,2024-10-05 07:21:00,Monthly Pass,General,Okhla NSIC,RK Puram,22,27,UPI
TXN00019021,KOC022,2024-10-02 20:53:00,Token,General,Petta,Changampuzha Park,15,20,Metro App
TXN00019022,NGP016,2024-11-12 05:04:00,Smart Card,General,Airport South,Jhansi Rani Square,18,27,NCMC Card
TXN00019023,CHN018,2024-11-30 14:17:00,Smart Card,Differently-abled,Mannadi,St. Thomas Mount,32,36,UPI
TXN00019024,BLR010,2024-12-13 08:12:00,Token,General,Attiguppe,Benniganahalli,30,40,Cash
TXN00019025,MUM012,2024-12-12 08:27:00,Token,General,Ghatkopar,Dahisar East,46,40,Cash
TXN00019026,DEL122,2024-12-03 13:25:00,QR Ticket,Senior Citizen,Jangpura,Sarai Kale Khan Nizamuddin,34,40,UPI
TXN00019027,PUN023,2024-11-17 11:46:00,Smart Card,Student,Mangalwar Peth,Garware College,15,27,NCMC Card
TXN00019028,PUN022,2024-10-01 16:41:00,Smart Card,General,PMC,Nal Stop,13,18,Credit/Debit Card
TXN00019029,DEL192,2024-10-25 07:59:00,Token,General,East Azad Nagar,Dilshad Garden,18,30,Cash
TXN00019030,DEL092,2024-11-11 20:26:00,QR Ticket,General,Netaji Subhash Place,Chandni Chowk,24,30,Cash
TXN00019031,DEL153,2024-12-13 14:21:00,Smart Card,General,Munirka,Tis Hazari,30,36,UPI
TXN00019032,KOL014,2024-11-10 22:15:00,Smart Card,General,Maidan,Rabindra Sadan,11,9,Credit/Debit Card
TXN00019033,KOC017,2024-12-22 11:43:00,Smart Card,General,Ernakulam South,MG Road,6,9,NCMC Card
TXN00019034,DEL097,2024-12-14 22:57:00,Monthly Pass,General,Pratap Nagar,Okhla Vihar,34,36,UPI
TXN00019035,KOL002,2024-12-26 18:22:00,Token,General,Baranagar,Shovabazar Sutanuti,12,20,Cash
TXN00019036,DEL212,2024-11-27 07:19:00,Smart Card,General,Ghevra,Welcome,60,45,Cash
TXN00019037,MUM014,2024-12-17 06:10:00,Smart Card,Student,Anand Nagar,Aarey,26,27,NCMC Card
TXN00019038,HYD011,2024-11-15 10:23:00,Smart Card,General,Ameerpet,Prakash Nagar,9,9,NCMC Card
TXN00019039,HYD007,2024-10-11 18:32:00,QR Ticket,General,Bharat Nagar,Paradise,17,30,UPI
TXN00019040,DEL221,2024-11-11 23:02:00,Token,General,IGI Airport,Dwarka Sector 8,22,30,Cash
TXN00019041,DEL025,2024-10-07 09:53:00,QR Ticket,General,Hauz Khas,Shiv Vihar,43,40,UPI
TXN00019042,MUM021,2024-10-14 10:54:00,QR Ticket,Women,Dahanukarwadi,Borivali West,10,20,Cash
TXN00019043,CHN019,2024-12-26 12:04:00,Smart Card,Student,Washermanpet,AG-DMS,13,18,Metro App
TXN00019044,DEL016,2024-10-30 22:54:00,QR Ticket,General,Rajiv Chowk,Anand Vihar ISBT,32,40,NCMC Card
TXN00019045,DEL050,2024-12-27 21:24:00,QR Ticket,Student,Uttam Nagar East,Ashok Park Main,20,30,Credit/Debit Card
TXN00019046,MUM030,2024-12-14 21:00:00,QR Ticket,General,Rashtriya Udyan,Asalpha,42,40,UPI
TXN00019047,DEL017,2024-10-13 19:55:00,Token,Student,Patel Chowk,Punjabi Bagh West,33,40,NCMC Card
TXN00019048,DEL218,2024-11-08 16:42:00,Smart Card,General,Shivaji Stadium,Subhash Nagar,18,27,NCMC Card
TXN00019049,DEL130,2024-12-06 10:22:00,Smart Card,General,Jasola Apollo,Jamia Millia Islamia,25,27,Credit/Debit Card
TXN00019050,DEL109,2024-10-03 16:19:00,Smart Card,Student,Major Mohit Sharma,Punjabi Bagh West,42,36,NCMC Card
TXN00019051,DEL128,2024-11-13 19:33:00,Token,General,Govind Puri,Pulbangash,49,50,NCMC Card
TXN00019052,DEL058,2024-10-15 10:55:00,Smart Card,Student,Moti Nagar,Samaypur Badli,39,36,Cash
TXN00019053,DEL021,2024-10-19 18:02:00,QR Ticket,General,Jor Bagh,Vishwavidyalaya,27,30,Metro App
TXN00019054,PUN022,2024-10-14 20:23:00,QR Ticket,Women,PMC,Phugewadi,21,30,UPI
TXN00019055,BLR015,2024-12-22 21:03:00,Token,General,Majestic,Peenya Industry,20,30,Cash
TXN00019056,BLR045,2024-10-22 16:03:00,QR Ticket,General,Peenya,Channasandra,54,50,UPI
TXN00019057,BLR034,2024-11-18 17:06:00,Token,Women,Pattandur Agrahara,Chikkabidarakallu,53,50,Metro App
TXN00019058,BLR058,2024-11-08 19:05:00,Smart Card,General,South End Circle,Kengeri Bus Terminal,25,27,NCMC Card
TXN00019059,DEL094,2024-12-23 11:04:00,Token,General,Kanhaiya Nagar,Noida Sector 15,33,40,Cash
TXN00019060,HYD044,2024-10-24 23:11:00,Smart Card,Women,Tarnaka,Secunderabad West,12,18,Cash
TXN00019061,BLR033,2024-10-12 23:26:00,Monthly Pass,General,Sri Sathya Sai Hospital,Attiguppe,48,45,NCMC Card
TXN00019062,BLR053,2024-11-22 19:26:00,QR Ticket,General,Mantri Square Sampige Road,Baiyappanahalli,27,30,UPI
TXN00019063,DEL012,2024-11-29 07:05:00,Smart Card,General,Kashmere Gate,Vidhan Sabha,21,27,Metro App
TXN00019064,DEL083,2024-12-04 10:55:00,Smart Card,General,Noida Sector 61,Mundka,65,45,UPI
TXN00019065,KOL029,2024-11-16 06:15:00,Smart Card,General,Central Park,Bengal Chemical,8,9,NCMC Card
TXN00019066,DEL162,2024-10-03 09:48:00,Smart Card,General,Jamia Millia Islamia,Kohat Enclave,39,36,NCMC Card
TXN00019067,BLR044,2024-10-24 12:21:00,Token,General,Peenya Industry,Deepanjali Nagar,15,30,Cash
TXN00019068,DEL075,2024-11-14 06:10:00,Smart Card,General,Noida Sector 15,Yamuna Bank,13,18,Credit/Debit Card
TXN00019069,KOL023,2024-12-15 09:36:00,Monthly Pass,Senior Citizen,Gitanjali,Central Park,26,27,UPI
TXN00019070,DEL152,2024-12-10 10:07:00,QR Ticket,Student,Vasant Vihar,Rohini West,30,40,NCMC Card
TXN00019071,HYD038,2024-11-26 20:30:00,QR Ticket,General,Prakash Nagar,Madhura Nagar,13,20,Credit/Debit Card
TXN00019072,BLR028,2024-10-28 05:57:00,QR Ticket,Student,Garudacharpalya,Swami Vivekananda Road,14,30,UPI
TXN00019073,MUM059,2024-12-12 21:37:00,Token,Tourist,BKC,D.N. Nagar,13,20,Cash
TXN00019074,BLR043,2024-12-11 05:04:00,Smart Card,Student,Jalahalli,Thalaghattapura,37,36,UPI
TXN00019075,NDA005,2024-12-22 10:55:00,QR Ticket,Tourist,Noida Sector 81,Pari Chowk,30,40,Cash
TXN00019076,MUM011,2024-12-04 06:37:00,Token,General,Jagruti Nagar,D.N. Nagar,23,30,Credit/Debit Card
TXN00019077,MUM053,2024-11-13 08:45:00,QR Ticket,Women,Acharya Atre Chowk,Marol Naka,20,30,Credit/Debit Card
TXN00019078,HYD024,2024-10-04 10:44:00,Token,Differently-abled,Dilsukhnagar,Lakdikapul,24,30,Cash
TXN00019079,DEL012,2024-12-16 05:20:00,Smart Card,Tourist,Kashmere Gate,Karol Bagh,24,27,NCMC Card
TXN00019080,KOL015,2024-12-20 09:14:00,Monthly Pass,General,Rabindra Sadan,Gitanjali,12,18,UPI
TXN00019081,DEL111,2024-11-22 14:21:00,Smart Card,General,Mohan Nagar,ESI Basaidarapur,47,45,UPI
TXN00019082,DEL120,2024-10-27 10:53:00,Token,Tourist,Khan Market,Govind Puri,26,30,UPI
TXN00019083,BLR037,2024-11-10 10:09:00,Token,General,Whitefield (Kadugodi),Mahalakshmi,53,50,Cash
TXN00019084,AMD011,2024-10-18 10:20:00,Smart Card,General,Kankaria East,Motera Stadium,32,36,Cash
TXN00019085,MUM002,2024-11-30 08:00:00,QR Ticket,General,D.N. Nagar,Ghatkopar,28,30,UPI
TXN00019086,AMD028,2024-11-09 19:22:00,Token,Student,Shahpur Extended,Paldi,8,10,NCMC Card
TXN00019087,BLR035,2024-10-26 21:49:00,Monthly Pass,General,Kadugodi Tree Park,Mantri Square Sampige Road,45,45,UPI
TXN00019088,BLR066,2024-10-26 09:40:00,Smart Card,General,Vajarahalli,Nallurhalli,37,36,NCMC Card
TXN00019089,CHN018,2024-10-05 20:44:00,Smart Card,General,Mannadi,CMBT,24,27,UPI
TXN00019090,DEL195,2024-10-19 19:08:00,QR Ticket,Women,Gokulpuri,Anand Vihar ISBT,13,20,Credit/Debit Card
TXN00019091,BLR001,2024-10-15 20:10:00,QR Ticket,Student,Challaghatta,Nallurhalli,60,50,UPI
TXN00019092,AMD025,2024-11-02 17:44:00,Token,General,Usmanpura,Motera Stadium,20,30,Cash
TXN00019093,DEL182,2024-11-06 05:38:00,Monthly Pass,General,Sarai Kale Khan Nizamuddin,Maujpur Babarpur,16,27,NCMC Card
TXN00019094,DEL044,2024-10-08 10:44:00,Smart Card,Tourist,Dwarka Sector 13,Krishna Nagar,45,45,Metro App
TXN00019095,LKO015,2024-11-17 10:57:00,Smart Card,Women,Vishwavidyalaya,Charbagh,11,18,UPI
TXN00019096,DEL088,2024-10-17 09:08:00,Smart Card,General,Rohini West,Shakurpur,15,27,UPI
TXN00019097,KOL029,2024-11-19 10:09:00,Token,Student,Central Park,Mahatma Gandhi Road,7,20,Cash
TXN00019098,HYD045,2024-12-18 23:07:00,QR Ticket,Senior Citizen,Habsiguda,JBS Parade Ground,13,20,NCMC Card
TXN00019099,KOL028,2024-12-25 18:53:00,Token,General,Karunamoyee,Rabindra Sadan,18,30,Cash
TXN00019100,BLR007,2024-11-27 10:52:00,Smart Card,Differently-abled,Nayandahalli,Trinity,29,36,Metro App
TXN00019101,DEL131,2024-12-11 07:48:00,Smart Card,Women,Sarita Vihar,Vishwavidyalaya,57,45,UPI
TXN00019102,DEL165,2024-10-13 19:35:00,Token,Student,Kalindi Kunj,Shivaji Park,42,40,UPI
TXN00019103,LKO006,2024-10-18 08:17:00,Token,General,Alambagh Bus Station,Mawaiya,8,10,UPI
TXN00019104,MUM061,2024-10-25 07:25:00,Smart Card,General,Santacruz Metro,Western Express Highway,15,18,UPI
TXN00019105,BHO013,2024-10-29 09:48:00,Smart Card,Differently-abled,Board Office,Alkapuri,14,18,Metro App
TXN00019106,KOL006,2024-12-05 07:32:00,QR Ticket,General,Shyambazar,Central,11,20,UPI
TXN00019107,DEL214,2024-10-04 05:06:00,Token,Women,Tikri Border,Uttam Nagar West,26,40,Cash
TXN00019108,DEL052,2024-12-18 06:38:00,Smart Card,Women,Janakpuri East,Shadipur,16,18,NCMC Card
TXN00019109,CHN013,2024-12-25 16:17:00,Monthly Pass,General,Thousand Lights,Guindy,13,18,Cash
TXN00019110,HYD002,2024-11-09 16:35:00,Smart Card,Tourist,JNTU College,Victoria Memorial,50,45,UPI
TXN00019111,NGP028,2024-10-06 09:41:00,Smart Card,Women,Jhansi Rani Square,Subhash Nagar,20,27,Credit/Debit Card
TXN00019112,KOC024,2024-10-06 05:10:00,QR Ticket,General,SN Junction,Muttom,20,30,UPI
TXN00019113,CHN004,2024-10-02 16:52:00,Smart Card,General,Arignar Anna Alandur,Saidapet,17,27,NCMC Card
TXN00019114,KNP021,2024-12-09 19:07:00,QR Ticket,Women,Naubasta,Basant Vihar,9,10,NCMC Card
TXN00019115,JAI011,2024-11-02 16:31:00,QR Ticket,General,Badi Chaupar,New Aatish Market,24,30,Metro App
TXN00019116,NDA006,2024-10-25 19:02:00,QR Ticket,General,NSEZ Noida Sector 83,Noida Sector 147,19,30,NCMC Card
TXN00019117,DEL008,2024-12-08 10:46:00,QR Ticket,General,GTB Nagar,MG Road,51,50,Cash
TXN00019118,CHN017,2024-11-11 10:17:00,QR Ticket,General,High Court,Chennai Central Metro,8,10,UPI
TXN00019119,KOL030,2024-10-09 17:36:00,Smart Card,Student,City Centre,Central Park,7,9,Cash
TXN00019120,KOC010,2024-10-19 14:55:00,Token,General,Changampuzha Park,JLN Stadium,5,10,Cash
TXN00019121,KOL015,2024-10-06 10:09:00,Smart Card,General,Rabindra Sadan,Howrah,18,27,Credit/Debit Card
TXN00019122,DEL103,2024-11-04 10:37:00,QR Ticket,Senior Citizen,Shahdara,Jasola Apollo,52,50,UPI
TXN00019123,AMD028,2024-12-05 15:46:00,Smart Card,Women,Shahpur Extended,Gheekanta,13,18,Metro App
TXN00019124,HYD023,2024-10-26 08:39:00,Smart Card,Student,Musarambagh,Erragadda,32,36,Metro App
TXN00019125,MUM002,2024-12-09 22:30:00,QR Ticket,Student,D.N. Nagar,Mumbai Central Metro,28,40,UPI
TXN00019126,HYD021,2024-12-03 10:59:00,Smart Card,General,Malakpet,Narayanaguda,14,18,UPI
TXN00019127,DEL154,2024-12-13 06:58:00,Smart Card,Tourist,RK Puram,Shakurpur,31,36,NCMC Card
TXN00019128,MUM022,2024-11-09 10:08:00,QR Ticket,Women,Valnai,Versova,21,30,Cash
TXN00019129,DEL219,2024-11-06 19:13:00,Smart Card,Women,Dhaula Kuan,Haiderpur Badli Mor,32,36,UPI
TXN00019130,DEL097,2024-11-04 06:23:00,Token,Student,Pratap Nagar,Okhla Vihar,34,40,Cash
TXN00019131,BLR068,2024-12-17 08:43:00,Smart Card,General,Silk Institute,Jayanagar,17,27,UPI
TXN00019132,CHN036,2024-11-22 07:18:00,Monthly Pass,General,Ashok Nagar,Wimco Nagar,37,36,NCMC Card
TXN00019133,CHN036,2024-12-15 12:41:00,Smart Card,Women,Ashok Nagar,LIC,32,36,NCMC Card
TXN00019134,BLR019,2024-10-20 09:42:00,Smart Card,General,MG Road,Sir M. Visvesvaraya,14,18,UPI
TXN00019135,DEL050,2024-11-01 16:14:00,Token,Women,Uttam Nagar East,Terminal 1 IGI Airport,10,20,Cash
TXN00019136,DEL033,2024-11-30 18:22:00,Smart Card,General,Guru Dronacharya,Paschim Vihar West,40,36,Cash
TXN00019137,NGP017,2024-12-17 10:12:00,QR Ticket,General,New Airport,Prajapati Nagar,24,30,UPI
TXN00019138,AMD031,2024-10-30 21:47:00,Token,Women,Doordarshan Kendra,Thaltej Gam,5,10,Cash
TXN00019139,DEL047,2024-10-10 07:15:00,Smart Card,Senior Citizen,Dwarka Mor,Karkarduma,43,45,UPI
TXN00019140,DEL133,2024-10-26 14:26:00,Smart Card,Student,Tughlakabad,Karkarduma Court,51,45,UPI
TXN00019141,MUM060,2024-11-28 20:31:00,Smart Card,General,Vidyanagari,Aarey JVLR,19,27,Cash
TXN00019142,MUM004,2024-12-02 19:12:00,Smart Card,Tourist,Andheri,CSIA International Airport,15,18,NCMC Card
TXN00019143,HYD013,2024-10-20 17:03:00,Smart Card,Student,Irrum Manzil,Durgam Cheruvu,26,27,Metro App
TXN00019144,AMD006,2024-10-23 14:31:00,Smart Card,General,Gandhigram,Gurukul Road,12,18,NCMC Card
TXN00019145,HYD039,2024-10-07 17:53:00,Smart Card,Women,Rasoolpura,Assembly,14,18,NCMC Card
TXN00019146,HYD007,2024-11-03 19:24:00,Token,General,Bharat Nagar,Durgam Cheruvu,21,30,NCMC Card
TXN00019147,HYD030,2024-11-10 08:26:00,Smart Card,General,Durgam Cheruvu,Prakash Nagar,21,27,UPI
TXN00019148,MUM062,2024-10-13 05:55:00,Smart Card,General,CSIA Domestic Airport,D.N. Nagar,12,18,NCMC Card
TXN00019149,DEL104,2024-11-04 19:55:00,Token,Student,Mansarovar Park,IIT Delhi,40,40,Cash
TXN00019150,NDA004,2024-12-20 20:08:00,QR Ticket,General,Noida Sector 101,Noida Sector 81,7,10,Cash
TXN00019151,BLR036,2024-12-26 10:11:00,Token,General,Channasandra,Halasuru,32,40,Cash
TXN00019152,HYD020,2024-10-17 13:22:00,QR Ticket,General,MG Bus Station,Raidurg,40,40,UPI
TXN00019153,KOL019,2024-11-17 09:50:00,Token,General,Rabindra Sarobar,Jatin Das Park,7,10,NCMC Card
TXN00019154,DEL123,2024-10-05 09:22:00,Smart Card,Tourist,Lajpat Nagar,Adarsh Nagar,36,36,UPI
